user_pk,follower_pk,follower_username,follower_count,threads_follower_pk,username
ermideen,69516024006,eleirepalumbo,113,69516024006,ermideen
ermideen,63317341386,giulianovannini,572,63317341386,ermideen
ermideen,64595302535,clarayemahuevosdecampo,3089,64595302535,ermideen
ermideen,63908489346,im_riccardoschillaci,401,63908489346,ermideen
ermideen,66897966938,dr_slump,101,66897966938,ermideen
ermideen,63308530555,notanarco,223,63308530555,ermideen
63442384941.0,63393358051,_dennisobrien_,229,63393358051,svp1n0
63442384941.0,63453387759,harry_map,128,63453387759,svp1n0
63442384941.0,63414758350,edward.is.writing,480,63414758350,svp1n0
63442384941.0,63216365996,ben.murdoch,1735,63216365996,svp1n0
63442384941.0,63053052130,mobis_dad,135,63053052130,svp1n0
63442384941.0,63292403322,lakshyaaagrawal,111,63292403322,svp1n0
63442384941.0,63406708578,kpolzounov,262,63406708578,svp1n0
63442384941.0,63459538027,devben.tech,1645,63459538027,svp1n0
63442384941.0,63440602234,chrisalbon,4265,63440602234,svp1n0
63442384941.0,63478193760,onejasonknight,1023,63478193760,svp1n0
63442384941.0,63135526665,jeremyphoward,3124,63135526665,svp1n0
63442384941.0,63207927693,webdevmadeeasy,1303,63207927693,svp1n0
63442384941.0,63419525028,salman.code,167,63419525028,svp1n0
63442384941.0,63375434705,beiramiab,571,63375434705,svp1n0
63442384941.0,63261560399,neuro_valentine,731,63261560399,svp1n0
63442384941.0,63445463186,arnimittal,141,63445463186,svp1n0
63442384941.0,63474971954,surya_ganguli,1238,63474971954,svp1n0
63442384941.0,63444873029,reznikib,1660,63444873029,svp1n0
63442384941.0,63216317302,eddyvinck,1077,63216317302,svp1n0
63442384941.0,63135505450,salemghouili,850,63135505450,svp1n0
63442384941.0,63095826408,hi.bangtoy,110,63095826408,svp1n0
63442384941.0,63076885189,antisignal,1560,63076885189,svp1n0
63442384941.0,63615064699,ameknite,315,63615064699,svp1n0
63442384941.0,63253414997,nsjames_,363,63253414997,svp1n0
63442384941.0,63233413995,sujankumar91,361,63233413995,svp1n0
63442384941.0,63444848840,abheist,422,63444848840,svp1n0
63442384941.0,63086233653,__ericelliott,1923,63086233653,svp1n0
63442384941.0,67978722813,ricochicomico1,203,67978722813,svp1n0
63442384941.0,63450603149,lvdmaaten,666,63450603149,svp1n0
63442384941.0,63477240530,roxanadaneshjou,371,63477240530,svp1n0
63442384941.0,63216567381,iopfelix,825,63216567381,svp1n0
63442384941.0,63229700060,elephantum,135,63229700060,svp1n0
63442384941.0,63450577334,scott.a.corbitt,736,63450577334,svp1n0
63442384941.0,63427025476,alexcarliera,358,63427025476,svp1n0
63442384941.0,63237499809,ashwinkadaru,454,63237499809,svp1n0
63442384941.0,63130652340,sethclaudepierre,144,63130652340,svp1n0
63442384941.0,63281717908,culstrup,228,63281717908,svp1n0
63442384941.0,63092969131,jbar380,906,63092969131,svp1n0
63442384941.0,63393918381,philfung,3402,63393918381,svp1n0
63442384941.0,63419846156,xamatriain,1364,63419846156,svp1n0
63442384941.0,63438318214,falazar23,400,63438318214,svp1n0
63442384941.0,63223691957,mlaprise,186,63223691957,svp1n0
63442384941.0,63458451613,mazorlori,390,63458451613,svp1n0
63442384941.0,62861631273,npp2049,187,62861631273,svp1n0
63442384941.0,63303915333,hudy9x,329,63303915333,svp1n0
63442384941.0,63317984643,matic3d,566,63317984643,svp1n0
63442384941.0,63134047866,sung.kim.mw,4635,63134047866,svp1n0
63442384941.0,63256774488,ekdr0,107,63256774488,svp1n0
63442384941.0,63437487306,daniel.zaldana,280,63437487306,svp1n0
63442384941.0,63086327482,vikaswakde42,175,63086327482,svp1n0
63442384941.0,63424053829,pedrooleadess,104,63424053829,svp1n0
63442384941.0,63386391872,rogue_mandrill,156,63386391872,svp1n0
63442384941.0,63075122279,pjbontrager,284,63075122279,svp1n0
63442384941.0,63094232552,pwlot,378,63094232552,svp1n0
63442384941.0,63125135965,yeah_that_femi,671,63125135965,svp1n0
63442384941.0,63292795658,jaat_introvert,166,63292795658,svp1n0
63442384941.0,63134765332,_dia_bolical,235,63134765332,svp1n0
63442384941.0,63070013973,think_virtually_ai,843,63070013973,svp1n0
63442384941.0,63137573083,tarunnraj,247,63137573083,svp1n0
63442384941.0,63411255010,spacegrep,145,63411255010,svp1n0
63442384941.0,63243414943,tedunderwoodillinois,1178,63243414943,svp1n0
63442384941.0,63239087221,t.peng,2023,63239087221,svp1n0
63442384941.0,63087177520,charlesvardeman,269,63087177520,svp1n0
63442384941.0,63146900381,stevejsteiner,1300,63146900381,svp1n0
63442384941.0,63254600229,aimanfarooq,511,63254600229,svp1n0
63442384941.0,63391178703,entrpswn,531,63391178703,svp1n0
63442384941.0,63092009298,avdalca,294,63092009298,svp1n0
63442384941.0,63243223215,_aswadi_,110,63243223215,svp1n0
63442384941.0,63066631657,phlippseitz,224,63066631657,svp1n0
63442384941.0,63628384148,therealsamlaki,249,63628384148,svp1n0
63442384941.0,63417946594,pranavkatariain,146,63417946594,svp1n0
63442384941.0,63406279253,circuitmage,103,63406279253,svp1n0
63442384941.0,63227995698,akashpanda,145,63227995698,svp1n0
63442384941.0,63475674814,ryan_biondo,170,63475674814,svp1n0
63442384941.0,63021127870,lgusmartins,842,63021127870,svp1n0
63442384941.0,63398519403,ainewsandtrends,727,63398519403,svp1n0
63442384941.0,63288577973,devtools.fm,1795,63288577973,svp1n0
63442384941.0,63228923208,chrisgenocpa,186,63228923208,svp1n0
63442384941.0,63149093334,jthomasmock,413,63149093334,svp1n0
63442384941.0,63135066443,chrubble,149,63135066443,svp1n0
63442384941.0,63091495518,jmaartenson,106,63091495518,svp1n0
63442384941.0,63062975385,lucas_a_meyer,14579,63062975385,svp1n0
63442384941.0,63485113425,harpreetmatharoo,134,63485113425,svp1n0
63442384941.0,63161477780,eadeli,112,63161477780,svp1n0
63442384941.0,63293786904,kshitij_ai_tools,243,63293786904,svp1n0
63442384941.0,63252438570,chris.staud,415,63252438570,svp1n0
63442384941.0,63071911572,un0blogger,115,63071911572,svp1n0
63442384941.0,63094206365,alena.harley,599,63094206365,svp1n0
63442384941.0,63433500113,cto_junior,1251,63433500113,svp1n0
63442384941.0,63373759976,rbansal16,171,63373759976,svp1n0
63442384941.0,63096421658,shoumikhin,2885,63096421658,svp1n0
63442384941.0,63252704024,albertvilella.i,575,63252704024,svp1n0
63442384941.0,63092526771,mattys.tech,572,63092526771,svp1n0
63442384941.0,63457996711,multidominic,232,63457996711,svp1n0
63442384941.0,63237603559,schuster.tal,237,63237603559,svp1n0
63442384941.0,63435001566,michaelrighi,1046,63435001566,svp1n0
63442384941.0,63389189431,bhavulgauri,850,63389189431,svp1n0
63442384941.0,63383927387,aut0mata,149,63383927387,svp1n0
63442384941.0,63062027740,nikola.vejin,228,63062027740,svp1n0
63442384941.0,63427810097,vibhorrastogi,257,63427810097,svp1n0
63442384941.0,66597266718,the_ai_night_owl,143,66597266718,svp1n0
